部品名,ユニット,使用数量
メイン基板（R）,メイン基板/電子部品,1
Xiao nRF52840,メイン基板/電子部品,2
メイン基板（L）,メイン基板/電子部品,1
スライドスイッチ,メイン基板/電子部品,2
PHコネクタ（L字型・メス）,メイン基板/電子部品,2
FFCケーブル（A型・6極・ピッチ5mm・長さ100mm以上）,メイン基板/電子部品,2
キースイッチソケット（ChocV2用）,メイン基板/電子部品,46
▲M2_CAP（L:3㎜）（黒）- リセットスイッチ操作用,メインケース,2
"5方向スイッチ ",メイン基板/電子部品,2
▲M2_CAP（L:3㎜）（黒）- 電源スイッチ操作用,メインケース,2
▲M2_CAP（L:3㎜）（黒）- 5方向スイッチ装飾用,メインケース,2
■M3_CAP（L:5㎜）（黒）,メインケース,8
■M3_インサートナット,メインケース,8
ゴム足,メインケース,8
リセットスイッチ補助部品,メインケース,2
透明プラ棒（L 5mm*φ3㎜）※要カット,メインケース,1-2
5方向スイッチノブ,メインケース,2
バッテリーカバー（R）,メインケース,1
マイコンカバー（R）,メインケース,1
電源スイッチ補助部品,メインケース,2
マイコンカバー（L）,メインケース,1
バッテリーカバー（L）,メインケース,1
ボトムケース（L）,メインケース,1
トップケース（R）,メインケース,1
ボトムケース（R）,メインケース,1
トップケース（L）,メインケース,1
ロータリーエンコーダ基板,エンコーダモジュール,1
ロータリーエンコーダ（EC12E2440301）,エンコーダモジュール,1
基板ボトムハウジング,エンコーダモジュール,1
M2_タップネジ（L:4㎜）,エンコーダモジュール,4
エンコーダノブ,エンコーダモジュール,1
基板トップハウジング,エンコーダモジュール,1
アナログスティック,アナログスティック&エンコーダモジュール,1
PCB,アナログスティック&エンコーダモジュール,1
●M2_タップネジ（L:4㎜）,アナログスティック&エンコーダモジュール,4
トップハウジング,アナログスティック&エンコーダモジュール,1
ボトムハウジング,アナログスティック&エンコーダモジュール,1
薄型エンコーダ,アナログスティック&エンコーダモジュール,1
アナログスティックノブ,アナログスティック&エンコーダモジュール,1
基板ボトムハウジング,トラックボールモジュール,1
基板トップハウジング,トラックボールモジュール,1
ボールハウジング,トラックボールモジュール,1
薄型エンコーダーノブ,アナログスティック&エンコーダモジュール,1
トラックボール基板,トラックボールモジュール,1
ベアリング（4*2*1.5㎜）,トラックボールモジュール,3
ベアリング軸,トラックボールモジュール,3
20mmPOM玉（白）,トラックボールモジュール,1
光学センサ +レンズ,トラックボールモジュール,1
●M2_タップネジ（L:4㎜）,トラックボールモジュール,8
ネオジウム磁石（3*2㎜）,トラックボールモジュール,4
●M2_タップネジ（L:4㎜）,RZT,4
ベアリング治具-下,トラックボールモジュール,1
ベアリング治具-上,トラックボールモジュール,1
PCB-RZT,RZT,1
押しバネ,RZT,4
引きバネ,RZT,2
ボトムケースベゼル穴埋めカバー,メインケース,2
